agency,city,state,ntd_id,organization_type,reporter_type,report_year,uace_code,uza_name,primary_uza_population,agency_voms,modecd,mode_name,typeofservicecd,mode_voms,form_type,guideway,guideway_questionable,stations,stations_questionable,administrative_buildings,administrative_buildings_1,maintenance_buildings,maintenance_buildings_1,passenger_vehicles,passenger_vehicles_1,other_vehicles,other_vehicles_questionable,fare_collection_equipment,fare_collection_equipment_1,communication_information,communication_information_1,other,other_questionable,reduced_reporter,reduced_reporter_questionable,total,total_questionable
Marble Valley Regional Transit District,Rutland,VT,10154,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,65.0,DR,Demand Response,DO,37.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Kennebec Valley Community Action Program,Waterville,ME,10155,Private-Non-Profit Corporation,Rural Reporter,2024,,,,50.0,MB,Bus,DO,9.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Kennebec Valley Community Action Program,Waterville,ME,10155,Private-Non-Profit Corporation,Rural Reporter,2024,,,,50.0,DR,Demand Response,DO,41.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,378126,,378126,
Northeastern Connecticut Transit District,Dayville,CT,10156,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,16.0,MB,Bus,DO,14.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Northeastern Connecticut Transit District,Dayville,CT,10156,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,16.0,DR,Demand Response,DO,2.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"VNA Home Healthcare, Hospice & Community Service",Keene,NH,10159,Private-Non-Profit Corporation,Rural Reporter,2024,,,,6.0,DR,Demand Response,DO,3.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"VNA Home Healthcare, Hospice & Community Service",Keene,NH,10159,Private-Non-Profit Corporation,Rural Reporter,2024,,,,6.0,MB,Bus,DO,3.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Belknap-Merrimack CAP/Concord Area Transit, dba: Community Action Program Belknap-Merrimack Countie",Concord,NH,10161,Private-Non-Profit Corporation,Rural Reporter,2024,,,,12.0,MB,Bus,DO,3.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Belknap-Merrimack CAP/Concord Area Transit, dba: Community Action Program Belknap-Merrimack Countie",Concord,NH,10161,Private-Non-Profit Corporation,Rural Reporter,2024,,,,12.0,DR,Demand Response,DO,9.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Nantucket Regional Transit Authority,Nantucket,MA,10162,Independent Public Agency or Authority of Transit Service,Rural Reporter,2024,,,,17.0,MB,Bus,PT,15.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,7151396,,7151396,
